BEDS Code,School Name,Local School Code,School Type,Lowest Grade,Highest Grade,Does this school serve its full planned grade span? (Y/N),"If no, is this school opening this school year? (Y/N)",Is the school scheduled to close? (Y/N),"If so, what year?",K-12 Enrollment,"Pre-K
Enrollment",Preschool Special Ed Enrollment,"K-12
FRPL
Count","K-12
ELL 
Count","K-12
SWD
Count",Classroom Teachers w/ 0-3 Years Experience,Classroom Teachers w/ More than 3 Years Experience,"Para-
professional Classroom Staff",Principals & Other Admin Staff,Pupil Support Services Staff,All Remaining Staff,Total Staff,Total Classroom Teachers,Total Non Teaching Staff
310200011565,Urban Academy Laboratory High School,02M565,Senior High School,9,12,Yes,,No,,150,0,0,79,4,35,2.0,14.0,1.0,1.0,2.0,3.0,23.0,16.0,7.0
310200011570,Satellite Academy High School,02M570,Senior High School,9,12,Yes,,No,,163,0,0,139,16,37,0.0,12.0,1.0,2.0,1.0,7.0,23.0,12.0,11.0
310200011575,Manhattan Comprehensive Night and Day High School,02M575,Senior High School,9,12,Yes,,No,,658,0,0,530,368,55,5.0,38.0,5.2,6.0,7.0,11.1,72.3,43.0,29.3
310200011580,Richard R. Green High School of Teaching,02M580,Senior High School,9,12,Yes,,No,,312,0,0,235,17,56,0.0,19.0,1.6,2.0,3.0,2.0,27.6,19.0,8.6
310200011586,Harvey Milk High School,02M586,Senior High School,9,12,Yes,,No,,56,0,0,45,3,17,2.0,9.0,1.0,2.0,2.0,1.0,17.0,11.0,6.0
310200011600,The High School of Fashion Industries,02M600,Senior High School,9,12,Yes,,No,,"1,667",0,0,"1,321",71,345,24.0,91.0,29.0,12.0,18.0,12.0,186.0,115.0,71.0
310200011605,Humanities Preparatory Academy,02M605,Senior High School,9,12,Yes,,No,,258,0,0,182,18,53,3.0,18.0,2.0,2.0,3.0,2.0,30.0,21.0,9.0
310200011615,Chelsea Career and Technical Education High School,02M615,Senior High School,9,12,Yes,,No,,349,0,0,290,16,97,4.0,33.0,7.0,3.0,5.9,5.0,57.9,37.0,20.9
310200011630,Art and Design High School,02M630,Senior High School,9,12,Yes,,No,,"1,424",0,0,779,16,319,9.0,95.0,17.0,8.5,8.0,10.0,147.5,104.0,43.5
310200011655,The High School for Climate Justice,02M655,Senior High School,9,12,Yes,,No,,382,0,0,318,41,105,2.0,23.0,4.8,3.0,6.0,3.1,41.9,25.0,16.9
310300010009,P.S. 009 Sarah Anderson,03M009,Elementary School,K,5,Yes,,No,,427,14,1,89,16,64,2.0,36.0,11.0,2.0,4.9,4.0,59.9,38.0,21.9
310300010054,J.H.S. 054 Booker T. Washington,03M054,Middle/Junior High School,6,8,Yes,,No,,724,0,0,212,22,154,13.0,47.0,11.4,2.0,5.9,4.0,83.3,60.0,23.3
310300010075,P.S. 075 Emily Dickinson,03M075,Elementary School,K,5,Yes,,No,,398,0,0,256,57,181,9.3,68.0,16.4,3.0,8.5,8.0,113.2,77.3,35.9
310300010076,P.S. 076 A. Philip Randolph,03M076,K-8 School,K,8,Yes,,No,,200,50,5,193,21,45,2.0,26.0,11.5,3.0,4.9,5.0,52.4,28.0,24.4
310300010084,P.S. 084 Lillian Weber,03M084,Elementary School,K,5,Yes,,No,,404,95,9,134,21,81,7.0,46.0,19.1,3.0,3.8,4.0,82.9,53.0,29.9
310300010087,P.S. 087 William Sherman,03M087,Elementary School,K,5,Yes,,No,,541,14,1,60,16,86,1.7,48.0,20.0,2.0,6.7,3.0,81.4,49.7,31.7
310300010145,"P.S. 145, The Bloomingdale School",03M145,Elementary School,K,5,Yes,,No,,320,42,4,232,32,82,9.0,31.0,17.0,2.0,7.6,3.0,69.6,40.0,29.6
310300010149,P.S. 149 Sojourner Truth,03M149,K-8 School,K,8,Yes,,No,,214,25,2,200,17,56,14.0,16.0,6.0,3.0,5.8,4.0,48.8,30.0,18.8
310300010163,P.S. 163 Alfred E. Smith,03M163,Elementary School,K,5,Yes,,No,,322,28,3,178,31,63,8.0,38.0,15.8,1.0,8.6,3.0,74.4,46.0,28.4
310300010165,P.S. 165 Robert E. Simon,03M165,Elementary School,K,5,Yes,,No,,323,28,3,206,24,64,7.0,30.0,13.0,2.0,4.9,3.0,59.9,37.0,22.9
310300010166,P.S. 166 The Richard Rodgers School of the Arts and Technology,03M166,Elementary School,K,5,Yes,,No,,556,0,0,82,9,61,4.0,28.0,9.0,2.0,3.9,2.0,48.9,32.0,16.9
310300010180,P.S. 180 Hugo Newman,03M180,K-8 School,K,8,Yes,,No,,291,56,5,222,38,74,1.0,37.0,13.0,3.0,3.9,4.0,61.9,38.0,23.9
310300010185,The Locke School of Arts and Engineering,03M185,Elementary School,K,5,Yes,,No,,180,64,6,138,6,44,8.7,25.0,13.6,2.2,4.8,2.0,56.3,33.7,22.6
310300010191,The Riverside School for Makers and Artists,03M191,K-8 School,K,8,Yes,,No,,430,71,6,346,21,131,7.0,42.0,18.6,3.0,4.0,3.0,77.6,49.0,28.6
310300010199,P.S. 199 Jessie Isador Straus,03M199,Elementary School,K,5,Yes,,No,,476,0,0,74,15,88,0.0,43.0,17.0,3.0,5.7,3.0,71.7,43.0,28.7
310300010241,STEM Institute of Manhattan,03M241,Elementary School,K,5,Yes,,No,,87,25,2,76,13,26,3.0,15.0,7.0,1.0,3.9,3.0,32.9,18.0,14.9
310300010242,P.S. 242 - The Young Diplomats Magnet Academy,03M242,Elementary School,K,5,Yes,,No,,96,28,3,83,6,26,2.0,15.0,3.7,1.0,3.9,2.0,27.6,17.0,10.6
310300010243,M.S. 243 Center School,03M243,Middle/Junior High School,5,8,Yes,,No,,245,0,0,51,2,56,7.1,12.0,3.9,1.0,1.0,4.0,29.0,19.1,9.9
310300010245,M.S. M245 The Computer School,03M245,Middle/Junior High School,6,8,Yes,,No,,348,0,0,112,3,77,4.0,26.0,3.0,2.0,3.0,2.0,40.0,30.0,10.0
310300010247,M.S. M247 Dual Language Middle School,03M247,Middle/Junior High School,6,8,Yes,,No,,176,0,0,151,39,43,8.0,14.0,2.0,1.0,2.0,2.0,29.0,22.0,7.0
310300010250,M.S. 250 West Side Collaborative Middle School,03M250,Middle/Junior High School,6,8,Yes,,No,,90,0,0,76,7,38,2.8,8.0,2.0,1.0,2.0,2.0,17.8,10.8,7.0
310300010256,Lafayette Academy,03M256,Middle/Junior High School,6,8,Yes,,No,,137,0,0,79,5,26,4.0,16.0,2.9,2.0,2.0,2.0,28.9,20.0,8.9
310300010258,Community Action School - MS 258,03M258,Middle/Junior High School,6,8,Yes,,No,,134,0,0,109,11,44,2.0,16.0,8.0,2.0,4.8,2.0,34.8,18.0,16.8
310300010333,P.S. 333 Manhattan School for Children,03M333,K-8 School,K,8,Yes,,No,,407,0,0,121,9,112,3.0,37.0,24.0,3.2,9.3,4.0,80.5,40.0,40.5
310300010334,The Anderson School,03M334,K-8 School,K,8,Yes,,No,,513,0,0,62,0,51,8.7,20.0,2.0,2.0,2.0,4.0,38.7,28.7,10.0
310300010421,West Prep Academy,03M421,Middle/Junior High School,6,8,Yes,,No,,143,0,0,116,6,64,4.0,20.0,4.0,2.0,2.0,3.0,35.0,24.0,11.0
310300010452,P.S. 452,03M452,Elementary School,K,5,Yes,,No,,255,53,5,74,11,48,2.0,28.0,8.0,2.0,2.8,3.0,45.8,30.0,15.8
310300010862,Mott Hall II,03M862,Middle/Junior High School,6,8,Yes,,No,,357,0,0,199,15,90,5.0,25.0,5.0,2.0,4.9,4.0,45.9,30.0,15.9
310300011291,West End Secondary School,03M291,Junior-Senior High School,6,12,Yes,,No,,693,0,0,171,8,136,8.0,45.0,1.0,3.0,4.5,4.0,65.5,53.0,12.5
310300011299,The Maxine Greene HS for Imaginative Inquiry,03M299,Senior High School,9,12,Yes,,No,,68,0,0,61,8,17,1.9,13.0,0.0,2.0,1.0,3.0,20.9,14.9,6.0
310300011307,"Urban Assembly School for Media Studies, The",03M307,Senior High School,9,12,Yes,,No,,324,0,0,261,17,63,8.0,22.0,9.7,3.0,4.0,5.0,51.7,30.0,21.7
310300011402,The Urban Assembly School for Green Careers,03M402,Senior High School,9,12,Yes,,No,,230,0,0,198,15,66,11.0,15.0,1.7,2.0,5.0,4.0,38.7,26.0,12.7
310300011403,The Global Learning Collaborative,03M403,Senior High School,9,12,Yes,,No,,411,0,0,349,53,90,3.0,32.0,5.0,3.0,5.0,6.0,54.0,35.0,19.0
310300011404,Innovation Diploma Plus,03M404,Senior High School,9,12,Yes,,No,,113,0,0,102,14,24,0.0,12.0,0.0,2.0,1.0,2.0,17.0,12.0,5.0
310300011415,Wadleigh Secondary School for the Performing & Visual Arts,03M415,Junior-Senior High School,6,12,Yes,,No,,432,0,0,348,18,83,7.0,32.0,6.0,3.0,4.9,5.0,57.9,39.0,18.9
310300011417,Frank McCourt High School,03M417,Senior High School,9,12,Yes,,No,,430,0,0,282,10,104,6.0,25.0,2.0,2.0,3.7,2.0,40.7,31.0,9.7
310300011479,Beacon High School,03M479,Senior High School,9,12,Yes,,No,,"1,493",0,0,511,1,264,13.7,73.5,10.0,4.0,8.9,5.0,115.1,87.2,27.9
310300011485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,Senior High School,9,12,Yes,,No,,"2,064",0,0,613,8,74,11.9,141.0,6.3,13.0,16.0,10.0,198.2,152.9,45.3
310300011492,"High School for Law, Advocacy and Community Justice",03M492,Senior High School,9,12,Yes,,No,,336,0,0,295,25,56,3.2,23.0,5.0,2.0,3.0,5.0,41.2,26.2,15.0
310300011494,High School of Arts and Technology,03M494,Senior High School,9,12,Yes,,No,,420,0,0,358,33,101,6.0,30.0,6.2,4.0,7.0,4.0,57.2,36.0,21.2
310300011505,Edward A. Reynolds West Side High School,03M505,Senior High School,9,12,Yes,,No,,191,0,0,168,19,84,0.5,24.0,2.0,3.0,2.0,3.0,34.5,24.5,10.0
310300011541,Manhattan / Hunter Science High School,03M541,Senior High School,9,12,Yes,,No,,404,0,0,272,4,79,9.0,18.0,1.0,3.0,3.0,4.1,38.1,27.0,11.1
310300011859,Special Music School,03M859,K-12 School,K,12,Yes,,No,,309,0,0,65,4,47,4.3,18.0,4.5,2.0,2.0,1.0,31.8,22.3,9.5
310300011860,Frederick Douglass Academy II Secondary School,03M860,Junior-Senior High School,6,12,Yes,,No,,339,0,0,305,40,99,15.0,21.0,7.0,2.0,4.0,5.0,54.0,36.0,18.0
310400010007,P.S. 007 Samuel Stern,04M007,K-8 School,K,8,Yes,,No,,268,38,3,239,28,75,6.0,28.0,16.8,2.0,4.0,2.0,58.8,34.0,24.8
310400010012,TAG Young Scholars,04M012,K-8 School,K,8,Yes,,No,,460,0,0,133,15,27,8.7,20.0,11.9,2.0,1.0,3.1,46.7,28.7,18.0
310400010037,River East Elementary,04M037,Elementary School,K,5,Yes,,No,,182,50,5,152,9,48,3.0,22.0,8.7,1.0,3.9,3.0,41.6,25.0,16.6
310400010038,P.S. 38 Roberto Clemente,04M038,Elementary School,K,5,Yes,,No,,134,50,5,116,12,36,5.0,15.0,14.4,2.0,3.0,1.0,40.4,20.0,20.4
310400010057,James Weldon Johnson,04M057,K-8 School,K,8,Yes,,No,,473,50,5,439,75,137,12.0,45.0,16.0,3.0,4.8,2.0,82.8,57.0,25.8
310400010072,The Lexington Academy,04M072,K-8 School,K,8,Yes,,No,,445,39,4,430,57,145,6.0,41.0,15.9,3.0,5.8,5.0,76.7,47.0,29.7
310400010083,P.S. 083 Luis Munoz Rivera,04M083,Elementary School,K,5,Yes,,No,,299,25,2,268,42,78,3.0,28.0,7.3,2.0,3.9,1.0,45.2,31.0,14.2
310400010096,P.S. 096 Joseph Lanzetta,04M096,K-8 School,K,8,Yes,,No,,306,36,3,290,41,88,9.0,34.0,7.6,2.0,3.8,5.0,61.4,43.0,18.4
310400010102,P.S. 102 Jacques Cartier,04M102,Elementary School,K,5,Yes,,No,,132,48,5,116,17,48,8.0,21.0,12.3,1.0,3.9,3.0,49.2,29.0,20.2
310400010108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,04M108,K-8 School,K,8,Yes,,No,,311,61,6,288,23,94,5.7,36.0,18.4,2.0,5.8,2.0,69.9,41.7,28.2
310400010112,P.S. 112 Jose Celso Barbosa,04M112,Elementary School,K,2,Yes,,No,,150,39,4,125,28,64,13.0,45.0,13.0,2.0,6.6,3.0,82.6,58.0,24.6
310400010146,P.S. 146 Ann M. Short,04M146,Elementary School,K,5,Yes,,No,,289,61,6,276,41,119,3.0,37.0,23.9,2.0,7.7,4.0,77.6,40.0,37.6
310400010155,P.S. 155 William Paca,04M155,Elementary School,K,5,Yes,,No,,190,50,5,189,51,52,6.0,17.0,10.6,1.0,3.0,3.0,40.6,23.0,17.6
310400010171,P.S. 171 Patrick Henry,04M171,K-8 School,K,8,Yes,,No,,673,64,6,466,32,129,10.0,43.0,18.8,3.7,4.9,4.0,84.4,53.0,31.4
310400010182,The Bilingual Bicultural School,04M182,Elementary School,K,5,Yes,,No,,177,25,2,168,89,48,4.5,25.0,5.0,1.0,1.9,2.0,39.4,29.5,9.9
310400010206,P.S. 206 Jose Celso Barbosa,04M206,K-8 School,3,8,Yes,,No,,478,0,0,425,91,213,25.5,76.0,13.3,2.0,6.8,4.0,127.6,101.5,26.1
310400010224,M.S. 224 Manhattan East School for Arts & Academics,04M224,Middle/Junior High School,6,8,Yes,,No,,170,0,0,108,5,37,2.0,14.0,9.0,2.0,3.0,1.9,31.9,16.0,15.9
310400010310,The Judith S. Kaye School,04M310,Senior High School,9,12,Yes,,No,,333,0,0,277,12,132,3.0,12.0,1.0,3.0,7.0,3.0,29.0,15.0,14.0
310400010372,Esperanza Preparatory Academy,04M372,Junior-Senior High School,6,12,Yes,,No,,482,0,0,463,186,117,16.0,40.0,15.0,2.0,5.9,8.0,86.9,56.0,30.9
310400010375,Mosaic Preparatory Academy,04M375,Elementary School,K,5,Yes,,No,,157,39,4,150,10,45,8.0,14.0,12.5,2.0,4.9,2.0,43.4,22.0,21.4
310400010377,Renaissance School of the Arts,04M377,Middle/Junior High School,6,8,Yes,,No,,184,0,0,167,13,63,2.5,17.0,2.0,1.0,2.0,3.0,27.5,19.5,8.0
310400010497,Central Park East I,04M497,Elementary School,K,5,Yes,,No,,126,28,3,59,5,28,4.7,13.0,7.0,1.0,1.9,2.0,29.6,17.7,11.9
310400010825,Isaac Newton Middle School for Math & Science,04M825,Middle/Junior High School,6,8,Yes,,No,,282,0,0,262,32,76,8.9,21.0,4.0,2.0,3.0,1.0,39.9,29.9,10.0
310400010964,Central Park East II,04M964,K-8 School,K,8,Yes,,No,,324,25,2,208,14,105,6.0,37.0,27.3,1.2,2.0,3.0,76.5,43.0,33.5
310400011435,Manhattan Center for Science and Mathematics,04M435,Senior High School,9,12,Yes,,No,,"1,445",0,0,"1,099",108,234,22.0,67.0,17.3,8.0,6.0,8.7,129.0,89.0,40.0
310400011495,Park East High School,04M495,Senior High School,9,12,Yes,,No,,383,0,0,304,17,92,4.0,33.0,7.0,3.0,4.0,4.0,55.0,37.0,18.0
310400011555,Central Park East High School,04M555,Senior High School,9,12,Yes,,No,,488,0,0,394,10,98,5.0,30.0,5.0,3.0,4.0,3.0,50.0,35.0,15.0
310400011610,Young Women's Leadership School,04M610,Junior-Senior High School,6,12,Yes,,No,,453,0,0,339,16,96,9.4,28.0,3.0,2.0,2.0,3.0,47.4,37.4,10.0
310400011680,"Heritage School, The",04M680,Senior High School,9,12,Yes,,No,,300,0,0,265,16,75,8.0,13.0,2.0,3.0,3.0,4.0,33.0,21.0,12.0
310500010030,P.S. 030 Hernandez/Hughes,05M030,Elementary School,K,5,Yes,,No,,119,50,5,114,14,40,2.0,24.0,15.3,2.0,4.8,2.0,50.1,26.0,24.1
310500010036,P.S. 036 Margaret Douglas,05M036,Elementary School,K,5,Yes,,No,,241,61,6,210,29,71,0.0,32.0,20.0,1.0,5.7,1.0,59.7,32.0,27.7
310500010046,P.S. 046 Arthur Tappan,05M046,K-8 School,K,8,Yes,,No,,419,39,4,397,34,143,4.0,43.0,20.4,3.0,4.9,4.0,79.3,47.0,32.3
310500010092,P.S. 092 Mary McLeod Bethune,05M092,Elementary School,K,5,Yes,,No,,190,14,1,189,30,56,0.0,19.0,9.7,3.0,2.9,6.0,40.6,19.0,21.6
310500010123,P.S. 123 Mahalia Jackson,05M123,K-8 School,K,8,Yes,,No,,350,50,5,330,53,112,7.7,34.0,11.5,3.0,4.7,4.0,64.9,41.7,23.2
310500010125,P.S. 125 Ralph Bunche,05M125,Elementary School,K,5,Yes,,No,,221,28,3,136,5,48,3.0,21.0,16.8,2.0,3.9,2.0,48.7,24.0,24.7
310500010129,P.S. 129 John H. Finley,05M129,Elementary School,K,5,Yes,,No,,159,50,5,145,11,49,0.0,28.0,20.0,2.0,4.9,3.0,57.9,28.0,29.9
