School Year,BEDS Code,School Name,District Name,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive,County,Need/Resource Category,Grade Organization
2008-2009,307500011035,Ps 35,Nyc Special Schools - District 75,Public,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
2008-2009,307500011079,Ps 79 Horan,Nyc Special Schools - District 75,Public,341,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,,,
2008-2009,307500011094,Ps 94,Nyc Special Schools - District 75,Public,207,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,0,5,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,,,
2008-2009,307500011138,Ps 138,Nyc Special Schools - District 75,Public,419,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
2008-2009,307500011169,Ps 169 Robert F Kennedy,Nyc Special Schools - District 75,Public,235,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,
2008-2009,307500011226,Ps 226,Nyc Special Schools - District 75,Public,277,0,0,0,0,0,5,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500011401,Hospital Schools,Nyc Special Schools - District 75,Public,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500011721,Ps 721 Manhattan Occupational Training Center,Nyc Special Schools - District 75,Public,252,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,,,
2008-2009,307500011751,Manhattan School For Career Development,Nyc Special Schools - District 75,Public,238,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,4,1,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,,,
2008-2009,307500011811,Ps 811 Mickey Mantle,Nyc Special Schools - District 75,Public,336,0,0,0,0,0,3,0,0,0,2,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
2008-2009,307500012010,Ps 10,Nyc Special Schools - District 75,Public,429,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
2008-2009,307500012012,Ps 12 Lewis And Clark School,Nyc Special Schools - District 75,Public,265,0,0,0,0,0,2,0,0,0,2,1,0,0,1,20,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,,,
2008-2009,307500012017,Ps 17,Nyc Special Schools - District 75,Public,357,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,1,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
2008-2009,307500012168,Ps 168,Nyc Special Schools - District 75,Public,360,0,0,0,0,0,2,0,0,0,1,0,0,0,1,6,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,,,
2008-2009,307500012176,Ps 176,Nyc Special Schools - District 75,Public,554,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
2008-2009,307500012186,Ps 186 Walter J Damrosch,Nyc Special Schools - District 75,Public,394,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,5,0,0,,,
2008-2009,307500012188,Ps 188,Nyc Special Schools - District 75,Public,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500012352,Vida Bogart School For All Children,Nyc Special Schools - District 75,Public,282,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,,,
2008-2009,307500012721,Ps 721 Steven Mcsweeney,Nyc Special Schools - District 75,Public,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,
2008-2009,307500012723,School 723,Nyc Special Schools - District 75,Public,385,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,
2008-2009,307500012754,Jm Rapport School For Career Development,Nyc Special Schools - District 75,Public,619,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,,,
2008-2009,307500012811,Ps 811,Nyc Special Schools - District 75,Public,625,0,0,0,0,0,6,0,0,0,1,0,0,0,0,7,0,5,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,,,
2008-2009,307500013004,Ps K004,Nyc Special Schools - District 75,Public,308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500013036,Ps K036,Nyc Special Schools - District 75,Public,283,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,
2008-2009,307500013053,Ps K053,Nyc Special Schools - District 75,Public,366,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,,,
2008-2009,307500013077,Ps K077,Nyc Special Schools - District 75,Public,284,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500013140,Ps K140,Nyc Special Schools - District 75,Public,302,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,14,0,1,0,0,0,3,0,5,0,1,0,0,8,0,0,0,8,,,
2008-2009,307500013141,Ps K141,Nyc Special Schools - District 75,Public,381,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,,,
2008-2009,307500013231,Ps K231,Nyc Special Schools - District 75,Public,290,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500013368,Ps 368,Nyc Special Schools - District 75,Public,262,0,0,0,0,0,7,0,0,0,0,0,0,0,1,5,0,1,2,7,3,2,0,0,0,2,0,1,0,0,0,0,0,1,3,0,2,,,
2008-2009,307500013369,Ps 369 Coy L Cox,Nyc Special Schools - District 75,Public,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,,,
2008-2009,307500013370,Ps 370,Nyc Special Schools - District 75,Public,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500013371,Ps 371 Lillian L Rashkis,Nyc Special Schools - District 75,Public,283,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,,,
2008-2009,307500013372,Ps 372 Children'S School,Nyc Special Schools - District 75,Public,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
2008-2009,307500013373,Ps 373 Brooklyn Transition Center,Nyc Special Schools - District 75,Public,348,0,0,0,0,0,4,0,0,0,1,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,,,
2008-2009,307500013396,Ps K396,Nyc Special Schools - District 75,Public,286,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500013721,Ps 721 Brooklyn Occupational Training,Nyc Special Schools - District 75,Public,467,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,
2008-2009,307500013753,Ps 753 School For Career Development,Nyc Special Schools - District 75,Public,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,,,
2008-2009,307500013771,Ps 771,Nyc Special Schools - District 75,Public,379,0,0,0,0,0,1,0,0,0,0,0,0,0,1,18,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,
2008-2009,307500013811,Ps 811 Connie Lekas,Nyc Special Schools - District 75,Public,430,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,,
2008-2009,307500014004,Ps 4,Nyc Special Schools - District 75,Public,394,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,
2008-2009,307500014009,Ps 9,Nyc Special Schools - District 75,Public,422,0,0,0,0,0,1,0,0,0,1,0,0,0,2,6,0,0,1,0,0,23,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,,,
2008-2009,307500014023,Ps 23 At Queens Children Center,Nyc Special Schools - District 75,Public,391,0,0,0,0,0,3,0,0,0,1,0,0,0,0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,,,
2008-2009,307500014075,Robert E Peary School,Nyc Special Schools - District 75,Public,323,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
2008-2009,307500014177,Ps 177,Nyc Special Schools - District 75,Public,481,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,
2008-2009,307500014224,Ps 224,Nyc Special Schools - District 75,Public,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
2008-2009,307500014233,Ps 233,Nyc Special Schools - District 75,Public,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500014255,Ps 255,Nyc Special Schools - District 75,Public,381,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500014256,Ps 256,Nyc Special Schools - District 75,Public,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,,,
2008-2009,307500014721,Ps 721 Queens Occupational Training Ctr,Nyc Special Schools - District 75,Public,412,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,2,32,0,2,0,0,1,4,0,1,0,1,0,0,0,0,0,0,38,,,
2008-2009,307500014752,Queens Transition Center,Nyc Special Schools - District 75,Public,456,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,3,1,11,0,5,0,0,0,3,0,1,0,0,0,0,4,1,5,0,9,,,
2008-2009,307500014811,Ps 811,Nyc Special Schools - District 75,Public,354,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500014993,Ps 993,Nyc Special Schools - District 75,Public,393,0,0,0,0,2,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,
2008-2009,307500015025,Ps/Is 25 So Richmond High,Nyc Special Schools - District 75,Public,496,0,0,0,0,0,1,0,0,0,1,2,0,0,1,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,
2008-2009,307500015037,Ps 37,Nyc Special Schools - District 75,Public,303,0,0,0,0,0,1,0,0,0,0,0,0,0,1,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500015373,Ps 373,Nyc Special Schools - District 75,Public,410,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
2008-2009,307500015721,The Richard H Hungerford School,Nyc Special Schools - District 75,Public,312,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
2008-2009,310100010015,Ps 15 Roberto Clemente,New York City Geographic District # 1,Public,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
2008-2009,310100010019,Ps 19 Asher Levy,New York City Geographic District # 1,Public,325,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
2008-2009,310100010020,Ps 20 Anna Silver,New York City Geographic District # 1,Public,593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,
2008-2009,310100010034,Ps 34 Franklin D Roosevelt,New York City Geographic District # 1,Public,424,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,4,0,14,0,9,0,0,0,1,0,1,0,0,0,0,0,3,0,0,7,,,
2008-2009,310100010063,Ps 63 William Mckinley,New York City Geographic District # 1,Public,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
2008-2009,310100010064,Ps 64 Robert Simon,New York City Geographic District # 1,Public,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,,,
2008-2009,310100010110,Ps 110 Florence Nightingale,New York City Geographic District # 1,Public,465,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310100010134,Ps 134 Henrietta Szold,New York City Geographic District # 1,Public,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310100010137,Ps 137 John L Bernstein,New York City Geographic District # 1,Public,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,
2008-2009,310100010140,Ps 140 Nathan Straus,New York City Geographic District # 1,Public,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,6,,,
2008-2009,310100010142,Ps 142 Amalia Castro,New York City Geographic District # 1,Public,438,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310100010184,Ps 184 Shuang Wen,New York City Geographic District # 1,Public,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
2008-2009,310100010188,Ps/Ms 188 The Island School,New York City Geographic District # 1,Public,406,0,0,0,0,0,2,0,0,0,1,0,0,0,1,4,1,1,0,21,0,6,0,0,0,9,0,2,0,2,0,0,0,0,0,1,11,,,
2008-2009,310100010301,Technology Arts And Sciences Studio School,New York City Geographic District # 1,Public,231,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,20,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,12,,,
2008-2009,310100010315,East Village Community School,New York City Geographic District # 1,Public,174,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
2008-2009,310100010332,University Neighborhood Middle School,New York City Geographic District # 1,Public,252,0,0,0,0,0,8,0,1,0,0,0,0,0,1,3,1,1,0,50,0,27,0,0,0,4,0,0,1,0,0,0,0,4,0,2,66,,,
2008-2009,310100010345,"Collaborative Acad Of Science, Technology And Language Arts Ed",New York City Geographic District # 1,Public,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,4,0,0,0,3,0,3,0,0,0,0,0,2,0,0,1,,,
2008-2009,310100010361,Children'S Workshop School,New York City Geographic District # 1,Public,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310100010363,Neighborhood School,New York City Geographic District # 1,Public,298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310100010364,Earth School,New York City Geographic District # 1,Public,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310100010378,School For Global Leaders,New York City Geographic District # 1,Public,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310100010839,Tompkins Square Middle School,New York City Geographic District # 1,Public,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,,,
2008-2009,310100011292,Henry Street School For International Studies,New York City Geographic District # 1,Public,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,0,3,0,0,0,1,0,2,0,0,0,0,0,3,4,1,35,,,
2008-2009,310100011448,University Neighborhood High School,New York City Geographic District # 1,Public,586,0,0,0,0,0,1,0,1,0,0,2,0,0,0,4,0,0,0,23,1,13,0,0,0,10,0,0,0,1,0,0,0,3,3,4,70,,,
2008-2009,310100011450,East Side Community School,New York City Geographic District # 1,Public,546,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11,0,7,0,0,0,5,0,2,0,0,0,0,0,5,0,0,13,,,
2008-2009,310100011509,Marta Valle Secondary School,New York City Geographic District # 1,Public,441,0,0,0,0,0,2,0,0,0,0,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,
2008-2009,310100011515,Lower East Side Preparatory High School,New York City Geographic District # 1,Public,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310100011539,"New Explorations Into Science,Tech And Math School",New York City Geographic District # 1,Public,1302,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,4,1,3,0,0,0,1,0,1,0,1,0,0,0,1,4,0,4,,,
2008-2009,310100011650,Cascades High School,New York City Geographic District # 1,Public,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310100011696,Bard High School Early College,New York City Geographic District # 1,Public,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310200010001,Ps 1 Alfred E Smith,New York City Geographic District # 2,Public,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,,,
2008-2009,310200010002,Ps 2 Meyer London,New York City Geographic District # 2,Public,738,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
2008-2009,310200010003,Ps 3 Charrette,New York City Geographic District # 2,Public,640,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310200010006,Ps 6 Lillie D Blake,New York City Geographic District # 2,Public,796,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0,1,1,6,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310200010011,Ps 11 William T Harris,New York City Geographic District # 2,Public,522,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,7,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,,,
2008-2009,310200010033,Ps 33 Chelsea Prep,New York City Geographic District # 2,Public,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,
2008-2009,310200010040,Ps 40 Augustus Saint-Gaudens,New York City Geographic District # 2,Public,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,,,
2008-2009,310200010041,Ps 41 Greenwich Village,New York City Geographic District # 2,Public,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310200010042,Ps 42 Benjamin Altman,New York City Geographic District # 2,Public,747,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310200010047,American Sign Language & English School,New York City Geographic District # 2,Public,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
2008-2009,310200010051,Ps 51 Elias Howe,New York City Geographic District # 2,Public,319,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
2008-2009,310200010059,Ps 59 Beekman Hill International,New York City Geographic District # 2,Public,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,,,
2008-2009,310200010077,Ps 77 Lower Lab,New York City Geographic District # 2,Public,340,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
2008-2009,310200010089,Ps 89,New York City Geographic District # 2,Public,547,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310200010104,Jhs 104 Simon Baruch,New York City Geographic District # 2,Public,977,0,0,0,0,0,4,0,2,0,0,1,0,0,1,1,0,0,1,14,1,6,0,0,0,0,0,2,0,0,0,0,0,3,3,0,7,,,
2008-2009,310200010111,Ps 111 Adolph S Ochs,New York City Geographic District # 2,Public,557,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,1,4,1,60,0,15,0,0,0,3,0,4,0,1,0,0,0,4,0,1,40,,,
2008-2009,310200010114,East Side Middle School,New York City Geographic District # 2,Public,381,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310200010116,Ps 116 Mary Lindley Murray,New York City Geographic District # 2,Public,782,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,,,
2008-2009,310200010124,Ps 124 Yung Wing,New York City Geographic District # 2,Public,991,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310200010126,Ps 126 Jacob August Riis,New York City Geographic District # 2,Public,771,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,37,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,27,,,
2008-2009,310200010130,Ps 130 Hernando Desoto,New York City Geographic District # 2,Public,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310200010131,Is 131,New York City Geographic District # 2,Public,761,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,16,0,6,0,0,0,0,0,3,0,2,0,0,0,0,0,0,4,,,
2008-2009,310200010150,Ps 150,New York City Geographic District # 2,Public,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310200010158,Ps 158 Baylard Taylor,New York City Geographic District # 2,Public,799,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,,,
2008-2009,310200010167,Jhs 167 Robert F Wagner,New York City Geographic District # 2,Public,1256,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,8,0,32,2,11,0,0,0,5,0,2,0,0,0,0,0,5,0,1,19,,,
2008-2009,310200010183,Ps 183 Robert L Stevenson,New York City Geographic District # 2,Public,588,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310200010198,Ps 198 Isador E Ida Straus,New York City Geographic District # 2,Public,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,,,
2008-2009,310200010212,Ps 212 Midtown West,New York City Geographic District # 2,Public,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,310200010217,Ps/Is 217 Roosevelt Island,New York City Geographic District # 2,Public,444,0,0,0,0,0,2,0,0,0,0,0,0,0,1,6,1,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,,,
