Part E - Locally Implemented Funding Formula,,,,,,,,,,,,,,
Are schools allocated a sizeable portion of their funding via a locally implemented formula?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BEDS Code,School Name,Local School Code,Weighted Register Allocation,Weighted Register Allocation If Local Formula Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total Funding (See Part C),Local Formula as % of Total Funding,Other Funding
310600011293,City College Academy of the Arts,06M293,"$5,674,315","$5,674,315",$0,100.00%,"$338,081","$1,633,615","$7,646,011","$7,646,011",$0,"$10,029,750",76.23%,"$2,383,739"
310600010311,Amistad Dual Language School,06M311,"$4,476,036","$4,476,036",$0,100.00%,"$338,081","$1,334,903","$6,149,021","$6,149,021",$0,"$9,289,782",66.19%,"$3,140,762"
310600010314,Muscota,06M314,"$2,005,104","$2,005,104",$0,100.00%,"$338,081","$598,691","$2,941,877","$2,941,877",$0,"$5,033,526",58.45%,"$2,091,650"
310600010319,M.S. 319 - Maria Teresa,06M319,"$2,873,577","$2,873,577",$0,100.00%,"$338,081","$931,735","$4,143,394","$4,143,394",$0,"$7,479,983",55.39%,"$3,336,589"
310600010322,Middle School 322,06M322,"$2,774,882","$2,774,882",$0,100.00%,"$338,081","$919,880","$4,032,843","$4,032,843",$0,"$6,897,262",58.47%,"$2,864,419"
310600010324,M.S. 324 - Patria Mirabal,06M324,"$3,122,080","$3,122,080",$0,100.00%,"$338,081","$1,018,551","$4,478,713","$4,478,713",$0,"$7,349,690",60.94%,"$2,870,978"
310600010328,Community Math & Science Prep,06M328,"$2,180,683","$2,180,683",$0,100.00%,"$338,081","$682,083","$3,200,848","$3,200,848",$0,"$4,954,836",64.60%,"$1,753,988"
310600011346,Community Health Academy of the Heights,06M346,"$6,387,950","$6,387,950",$0,100.00%,"$338,081","$1,903,656","$8,629,687","$8,629,687",$0,"$11,199,204",77.06%,"$2,569,517"
310600011348,Washington Heights Expeditionary Learning School,06M348,"$9,601,661","$9,601,661",$0,100.00%,"$338,081","$2,643,477","$12,583,218","$12,583,218",$0,"$17,970,391",70.02%,"$5,387,172"
310600010349,Harbor Heights,06M349,"$739,727","$739,727",$0,100.00%,"$338,081","$270,675","$1,348,483","$1,348,483",$0,"$2,065,552",65.28%,"$717,069"
310600010366,Washington Heights Academy,06M366,"$4,071,753","$4,071,753",$0,100.00%,"$338,081","$1,117,732","$5,527,567","$5,527,567",$0,"$9,812,085",56.33%,"$4,284,518"
310600010368,Hamilton Heights School,06M368,"$1,799,605","$1,799,605",$0,100.00%,"$338,081","$618,555","$2,756,241","$2,756,241",$0,"$5,206,625",52.94%,"$2,450,384"
310600011423,High School for Excellence and Innovation,06M423,"$1,816,842","$1,816,842",$0,100.00%,"$338,081","$562,517","$2,717,440","$2,717,440",$0,"$3,920,715",69.31%,"$1,203,275"
310600011462,The College Academy,06M462,"$3,598,527","$3,598,527",$0,100.00%,"$338,081","$995,657","$4,932,264","$4,932,264",$0,"$7,921,507",62.26%,"$2,989,243"
310600011463,High School for Media and Communications,06M463,"$3,522,026","$3,522,026",$0,100.00%,"$338,081","$965,924","$4,826,031","$4,826,031",$0,"$7,969,171",60.56%,"$3,143,140"
310600011467,High School for Law and Public Service,06M467,"$4,327,432","$4,327,432",$0,100.00%,"$338,081","$1,160,771","$5,826,284","$5,826,284",$0,"$9,404,820",61.95%,"$3,578,536"
310600011468,High School for Health Careers and Sciences,06M468,"$4,680,898","$4,680,898",$0,100.00%,"$338,081","$1,252,906","$6,271,885","$6,271,885",$0,"$9,256,538",67.76%,"$2,984,653"
310600010513,Castle Bridge School,06M513,"$1,925,857","$1,925,857",$0,100.00%,"$338,081","$625,186","$2,889,124","$2,889,124",$0,"$4,601,898",62.78%,"$1,712,774"
310600010528,I.S. 528 Bea Fuller Rodgers School,06M528,"$2,697,303","$2,697,303",$0,100.00%,"$338,081","$663,929","$3,699,313","$3,699,313",$0,"$5,561,739",66.51%,"$1,862,426"
310600011540,A. Philip Randolph Campus High School,06M540,"$13,225,032","$13,225,032",$0,100.00%,"$338,081","$3,473,749","$17,036,862","$17,036,862",$0,"$22,845,437",74.57%,"$5,808,575"
310600011552,Gregorio Luperon High School for Science and Mathematics,06M552,"$5,968,228","$5,968,228",$0,100.00%,"$338,081","$1,664,009","$7,970,318","$7,970,318",$0,"$10,123,814",78.73%,"$2,153,496"
320700010001,P.S. 001 Courtlandt School,07X001,"$3,462,936","$3,462,936",$0,100.00%,"$338,081","$1,048,654","$4,849,671","$4,849,671",$0,"$10,222,980",47.44%,"$5,373,309"
320700010005,P.S. 5 Port Morris,07X005,"$5,091,365","$5,091,365",$0,100.00%,"$338,081","$1,426,290","$6,855,736","$6,855,736",$0,"$14,248,329",48.12%,"$7,392,593"
320700010018,P.S. 018 John Peter Zenger,07X018,"$2,983,697","$2,983,697",$0,100.00%,"$338,081","$856,391","$4,178,170","$4,178,170",$0,"$8,717,375",47.93%,"$4,539,205"
320700010025,P.S. 025 Bilingual School,07X025,"$3,863,637","$3,863,637",$0,100.00%,"$338,081","$992,446","$5,194,163","$5,194,163",$0,"$12,378,572",41.96%,"$7,184,408"
320700010029,P.S./M.S. 029 Melrose School,07X029,"$6,022,275","$6,022,275",$0,100.00%,"$338,081","$1,687,075","$8,047,431","$8,047,431",$0,"$15,276,752",52.68%,"$7,229,321"
320700010030,P.S. 030 Wilton,07X030,"$3,444,153","$3,444,153",$0,100.00%,"$338,081","$987,059","$4,769,293","$4,769,293",$0,"$10,912,925",43.70%,"$6,143,633"
320700010031,P.S./M.S. 031 The William Lloyd Garrison,07X031,"$5,620,570","$5,620,570",$0,100.00%,"$338,081","$1,604,053","$7,562,704","$7,562,704",$0,"$14,565,976",51.92%,"$7,003,272"
320700010043,P.S. 043 Jonas Bronck,07X043,"$2,347,285","$2,347,285",$0,100.00%,"$338,081","$775,577","$3,460,942","$3,460,942",$0,"$8,691,040",39.82%,"$5,230,098"
320700010049,P.S. 049 Willis Avenue,07X049,"$4,145,984","$4,145,984",$0,100.00%,"$338,081","$1,288,122","$5,772,186","$5,772,186",$0,"$11,821,371",48.83%,"$6,049,184"
320700010065,P.S. 065 Mother Hale Academy,07X065,"$1,788,176","$1,788,176",$0,100.00%,"$338,081","$500,938","$2,627,195","$2,627,195",$0,"$6,318,426",41.58%,"$3,691,231"
320700010154,P.S. 154 Jonathan D. Hyatt,07X154,"$1,899,076","$1,899,076",$0,100.00%,"$338,081","$559,714","$2,796,871","$2,796,871",$0,"$6,696,216",41.77%,"$3,899,345"
320700010157,P.S. 157 Grove Hill,07X157,"$3,817,195","$3,817,195",$0,100.00%,"$338,081","$1,195,731","$5,351,007","$5,351,007",$0,"$10,663,366",50.18%,"$5,312,359"
320700010161,P.S. 161 Juan Ponce De Leon School,07X161,"$2,790,456","$2,790,456",$0,100.00%,"$338,081","$852,425","$3,980,962","$3,980,962",$0,"$10,277,066",38.74%,"$6,296,104"
320700010179,P.S. 179,07X179,"$1,638,368","$1,638,368",$0,100.00%,"$338,081","$569,969","$2,546,418","$2,546,418",$0,"$7,253,273",35.11%,"$4,706,855"
320700011221,South Bronx Preparatory: A College Board School,07X221,"$6,385,310","$6,385,310",$0,100.00%,"$338,081","$1,706,986","$8,430,376","$8,430,376",$0,"$11,951,045",70.54%,"$3,520,668"
320700010223,The Laboratory School of Finance and Technology: X223,07X223,"$5,698,508","$5,698,508",$0,100.00%,"$338,081","$1,615,292","$7,651,881","$7,651,881",$0,"$11,859,517",64.52%,"$4,207,636"
320700010224,P.S./I.S. 224,07X224,"$2,682,093","$2,682,093",$0,100.00%,"$338,081","$707,840","$3,728,015","$3,728,015",$0,"$6,724,043",55.44%,"$2,996,028"
320700011259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",07X259,"$8,698,740","$8,698,740",$0,100.00%,"$338,081","$2,120,095","$11,156,916","$11,156,916",$0,"$14,962,365",74.57%,"$3,805,448"
320700010277,P.S. 277,07X277,"$1,962,798","$1,962,798",$0,100.00%,"$338,081","$659,939","$2,960,819","$2,960,819",$0,"$7,336,667",40.36%,"$4,375,848"
320700010296,South Bronx Academy for Applied Media,07X296,"$2,484,748","$2,484,748",$0,100.00%,"$338,081","$696,075","$3,518,904","$3,518,904",$0,"$6,714,522",52.41%,"$3,195,618"
320700010298,Academy of Public Relations,07X298,"$1,820,167","$1,820,167",$0,100.00%,"$338,081","$548,610","$2,706,858","$2,706,858",$0,"$5,396,906",50.16%,"$2,690,048"
320700011334,International Community High School,07X334,"$3,536,463","$3,536,463",$0,100.00%,"$338,081","$1,124,320","$4,998,863","$4,998,863",$0,"$7,581,828",65.93%,"$2,582,965"
320700010343,Academy of Applied Mathematics and Technology,07X343,"$2,973,816","$2,973,816",$0,100.00%,"$338,081","$882,724","$4,194,621","$4,194,621",$0,"$6,680,403",62.79%,"$2,485,783"
320700010359,Concourse Village Elementary School,07X359,"$1,703,116","$1,703,116",$0,100.00%,"$338,081","$534,336","$2,575,533","$2,575,533",$0,"$5,158,684",49.93%,"$2,583,151"
320700010369,Young Leaders Elementary School,07X369,"$1,858,585","$1,858,585",$0,100.00%,"$338,081","$559,142","$2,755,807","$2,755,807",$0,"$6,273,042",43.93%,"$3,517,234"
320700011379,Jill Chaifetz Transfer High School,07X379,"$2,396,328","$2,396,328",$0,100.00%,"$338,081","$614,871","$3,349,280","$3,349,280",$0,"$5,456,331",61.38%,"$2,107,051"
320700011381,Bronx Haven High School,07X381,"$1,418,578","$1,418,578",$0,100.00%,"$338,081","$364,038","$2,120,696","$2,120,696",$0,"$3,545,996",59.81%,"$1,425,300"
320700011427,Community School for Social Justice,07X427,"$2,426,093","$2,426,093",$0,100.00%,"$338,081","$761,660","$3,525,833","$3,525,833",$0,"$6,271,381",56.22%,"$2,745,547"
320700011473,Mott Haven Village Preparatory High School,07X473,"$1,591,267","$1,591,267",$0,100.00%,"$338,081","$452,717","$2,382,065","$2,382,065",$0,"$5,273,087",45.17%,"$2,891,021"
320700011495,University Heights Secondary School,07X495,"$4,962,773","$4,962,773",$0,100.00%,"$338,081","$1,275,009","$6,575,863","$6,575,863",$0,"$9,791,362",67.16%,"$3,215,499"
320700011500,Hostos-Lincoln Academy of Science,07X500,"$5,295,989","$5,295,989",$0,100.00%,"$338,081","$1,431,240","$7,065,309","$7,065,309",$0,"$10,138,311",69.69%,"$3,073,002"
320700011522,Bronx Design and Construction Academy,07X522,"$3,134,064","$3,134,064",$0,100.00%,"$338,081","$998,403","$4,470,548","$4,470,548",$0,"$7,638,113",58.53%,"$3,167,564"
320700011527,Bronx Leadership Academy II High School,07X527,"$5,252,606","$5,252,606",$0,100.00%,"$338,081","$1,464,944","$7,055,631","$7,055,631",$0,"$10,994,177",64.18%,"$3,938,546"
320700011548,Careers in Sports High School,07X548,"$5,536,939","$5,536,939",$0,100.00%,"$338,081","$1,389,818","$7,264,838","$7,264,838",$0,"$10,730,544",67.70%,"$3,465,706"
320700011551,The Urban Assembly Bronx Academy of Letters,07X551,"$6,009,361","$6,009,361",$0,100.00%,"$338,081","$1,630,142","$7,977,585","$7,977,585",$0,"$13,222,691",60.33%,"$5,245,106"
320700011557,Mott Haven Community High School,07X557,"$3,226,377","$3,226,377",$0,100.00%,"$338,081","$911,058","$4,475,516","$4,475,516",$0,"$6,145,346",72.83%,"$1,669,829"
320700010584,I.S. 584,07X584,"$2,601,474","$2,601,474",$0,100.00%,"$338,081","$694,787","$3,634,342","$3,634,342",$0,"$6,558,232",55.42%,"$2,923,890"
320700011600,Alfred E. Smith Career and Technical Education High School,07X600,"$5,541,380","$5,541,380",$0,100.00%,"$338,081","$1,573,579","$7,453,041","$7,453,041",$0,"$10,817,207",68.90%,"$3,364,166"
320700011625,Walkabout Bronx High School,07X625,"$1,663,105","$1,663,105",$0,100.00%,"$338,081","$508,813","$2,509,999","$2,509,999",$0,"$3,341,076",75.13%,"$831,077"
320700011670,Health Opportunities High School,07X670,"$2,510,836","$2,510,836",$0,100.00%,"$338,081","$703,384","$3,552,301","$3,552,301",$0,"$6,500,026",54.65%,"$2,947,725"
300000000007,Pre-K Center District 07,07XP07,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
320800010014,P.S. X014 Senator John Calandra,08X014,"$5,298,052","$5,298,052",$0,100.00%,"$338,081","$1,480,322","$7,116,454","$7,116,454",$0,"$11,901,147",59.80%,"$4,784,693"
320800010036,P.S. 036 Unionport,08X036,"$5,450,834","$5,450,834",$0,100.00%,"$338,081","$1,555,756","$7,344,670","$7,344,670",$0,"$12,509,102",58.71%,"$5,164,431"
320800010048,P.S. 048 Joseph R. Drake,08X048,"$3,605,241","$3,605,241",$0,100.00%,"$338,081","$1,148,413","$5,091,735","$5,091,735",$0,"$12,449,987",40.90%,"$7,358,252"
320800010062,P.S. 062 Inocensio Casanova,08X062,"$3,880,548","$3,880,548",$0,100.00%,"$338,081","$1,140,735","$5,359,365","$5,359,365",$0,"$10,911,094",49.12%,"$5,551,729"
320800010069,P.S. 069 Journey Prep School,08X069,"$4,208,025","$4,208,025",$0,100.00%,"$338,081","$1,248,071","$5,794,176","$5,794,176",$0,"$9,482,014",61.11%,"$3,687,838"
320800010071,P.S. 071 Rose E. Scala,08X071,"$10,833,867","$10,833,867",$0,100.00%,"$338,081","$3,219,562","$14,391,510","$14,391,510",$0,"$21,019,184",68.47%,"$6,627,674"
320800010072,P.S. 072 Dr. William Dorney,08X072,"$4,961,122","$4,961,122",$0,100.00%,"$338,081","$1,461,478","$6,760,681","$6,760,681",$0,"$13,793,281",49.01%,"$7,032,600"
320800010075,P.S. 75 School of Research and Discovery,08X075,"$3,514,735","$3,514,735",$0,100.00%,"$338,081","$1,077,385","$4,930,201","$4,930,201",$0,"$11,635,540",42.37%,"$6,705,339"
320800010093,P.S. 093 Albert G. Oliver,08X093,"$2,003,341","$1,922,381",$0,104.21%,"$338,081","$649,010","$2,990,432","$2,886,792",$0,"$7,627,462",39.21%,"$4,637,030"
320800010100,P.S. 100 Isaac Clason,08X100,"$3,423,561","$3,423,561",$0,100.00%,"$338,081","$1,078,531","$4,840,173","$4,840,173",$0,"$10,398,538",46.55%,"$5,558,365"
320800010101,M.S. X101 Edward R. Byrne,08X101,"$5,365,584","$5,365,584",$0,100.00%,"$338,081","$1,590,632","$7,294,297","$7,294,297",$0,"$9,507,637",76.72%,"$2,213,339"
320800010107,P.S. 107,08X107,"$3,681,109","$3,681,109",$0,100.00%,"$338,081","$1,114,843","$5,134,033","$5,134,033",$0,"$10,140,817",50.63%,"$5,006,784"
320800010119,The Dr. Emmett W. Bassett School,08X119,"$4,451,578","$4,451,578",$0,100.00%,"$338,081","$1,260,829","$6,050,488","$6,050,488",$0,"$10,586,885",57.15%,"$4,536,397"
320800010123,J.H.S. 123 James M. Kieran,08X123,"$7,024,038","$7,024,038",$0,100.00%,"$338,081","$2,027,165","$9,389,284","$9,389,284",$0,"$12,369,480",75.91%,"$2,980,196"
320800010130,P.S. 130 Abram Stevens Hewitt,08X130,"$2,456,715","$2,456,715",$0,100.00%,"$338,081","$798,255","$3,593,051","$3,593,051",$0,"$7,447,880",48.24%,"$3,854,829"
320800010131,J.H.S. 131 Albert Einstein,08X131,"$3,999,376","$3,999,376",$0,100.00%,"$338,081","$1,150,185","$5,487,642","$5,487,642",$0,"$8,865,659",61.90%,"$3,378,016"
320800010138,P.S. 138 Samuel Randall,08X138,"$3,715,438","$3,715,438",$0,100.00%,"$338,081","$1,151,291","$5,204,810","$5,204,810",$0,"$9,922,332",52.46%,"$4,717,522"
320800010140,P.S. X140 The Eagle School,08X140,"$2,650,546","$2,650,546",$0,100.00%,"$338,081","$837,968","$3,826,595","$3,826,595",$0,"$8,945,086",42.78%,"$5,118,490"
320800010146,P.S. 146 Edward Collins,08X146,"$2,658,255","$2,658,255",$0,100.00%,"$338,081","$744,681","$3,741,017","$3,741,017",$0,"$7,085,749",52.80%,"$3,344,732"
320800010152,P.S. 152 Evergreen,08X152,"$6,114,130","$6,114,130",$0,100.00%,"$338,081","$1,786,212","$8,238,423","$8,238,423",$0,"$14,104,201",58.41%,"$5,865,778"
320800010182,P.S. 182,08X182,"$3,636,640","$3,636,640",$0,100.00%,"$338,081","$1,082,652","$5,057,373","$5,057,373",$0,"$9,499,665",53.24%,"$4,442,292"
320800011269,Bronx Studio School for Writers and Artists,08X269,"$6,351,684","$6,351,684",$0,100.00%,"$338,081","$1,775,657","$8,465,421","$8,465,421",$0,"$12,660,536",66.86%,"$4,195,115"
320800011282,Women's Academy of Excellence,08X282,"$1,796,285","$1,796,285",$0,100.00%,"$338,081","$558,626","$2,692,993","$2,692,993",$0,"$4,554,917",59.12%,"$1,861,925"
320800011293,Renaissance High School for Musical Theater and the Arts,08X293,"$3,962,032","$3,962,032",$0,100.00%,"$338,081","$1,066,941","$5,367,053","$5,367,053",$0,"$6,931,967",77.42%,"$1,564,914"
320800010301,M.S. 301 Paul L. Dunbar,08X301,"$2,265,443","$2,265,443",$0,100.00%,"$338,081","$698,339","$3,301,863","$3,301,863",$0,"$5,240,333",63.01%,"$1,938,470"
320800010302,M.S. 302 Luisa Dessus Cruz,08X302,"$4,377,475","$4,377,475",$0,100.00%,"$338,081","$1,001,042","$5,716,598","$5,716,598",$0,"$8,875,081",64.41%,"$3,158,483"
320800010304,P.S. 304 Early Childhood School,08X304,"$4,128,081","$4,128,081",$0,100.00%,"$338,081","$1,297,226","$5,763,388","$5,763,388",$0,"$10,103,314",57.04%,"$4,339,926"
320800010312,Millennium Art Academy,08X312,"$3,280,512","$3,280,512",$0,100.00%,"$338,081","$918,999","$4,537,592","$4,537,592",$0,"$8,786,051",51.65%,"$4,248,459"
320800011320,Pelham Lab High School,08X320,"$3,338,575","$3,338,575",$0,100.00%,"$338,081","$1,026,548","$4,703,204","$4,703,204",$0,"$6,752,881",69.65%,"$2,049,677"
320800010333,The Longwood Academy of Discovery,08X333,"$4,281,602","$4,281,602",$0,100.00%,"$338,081","$1,289,821","$5,909,504","$5,909,504",$0,"$11,774,298",50.19%,"$5,864,794"
320800010337,The School for Inquiry and Social Justice,08X337,"$4,673,230","$4,673,230",$0,100.00%,"$338,081","$1,345,312","$6,356,623","$6,356,623",$0,"$8,557,816",74.28%,"$2,201,194"
320800011348,Schuylerville Preparatory High School,08X348,"$3,253,731","$3,253,731",$0,100.00%,"$338,081","$876,866","$4,468,677","$4,468,677",$0,"$6,183,461",72.27%,"$1,714,784"
320800011349,Bronx River High School,08X349,"$4,273,898","$4,273,898",$0,100.00%,"$338,081","$1,197,286","$5,809,266","$5,809,266",$0,"$7,308,080",79.49%,"$1,498,815"
320800011367,"Archimedes Academy for Math, Science and Technology Applications",08X367,"$5,952,287","$5,952,287",$0,100.00%,"$338,081","$1,731,786","$8,022,154","$8,022,154",$0,"$11,498,063",69.77%,"$3,475,909"
320800010371,Urban Institute of Mathematics,08X371,"$3,476,937","$3,476,937",$0,100.00%,"$338,081","$980,556","$4,795,574","$4,795,574",$0,"$7,325,367",65.47%,"$2,529,793"
320800010375,The Bronx Mathematics Preparatory School,08X375,"$2,412,966","$2,412,966",$0,100.00%,"$338,081","$798,930","$3,549,977","$3,549,977",$0,"$5,328,946",66.62%,"$1,778,969"
320800011376,Antonia Pantoja Preparatory Academy: A College Board School,08X376,"$4,415,543","$4,415,543",$0,100.00%,"$338,081","$1,198,636","$5,952,260","$5,952,260",$0,"$8,887,404",66.97%,"$2,935,144"
320800011377,Bronx Community High School,08X377,"$1,215,252","$1,215,252",$0,100.00%,"$338,081","$432,936","$1,986,269","$1,986,269",$0,"$2,927,583",67.85%,"$941,314"
320800010392,Bronx Delta School,08X392,"$2,929,461","$2,929,461",$0,100.00%,"$338,081","$822,900","$4,090,443","$4,090,443",$0,"$9,713,962",42.11%,"$5,623,520"
320800011405,Herbert H. Lehman High School,08X405,"$9,472,410","$9,472,410",$0,100.00%,"$338,081","$2,209,500","$12,019,991","$12,019,991",$0,"$20,271,172",59.30%,"$8,251,180"
320800010424,Bronx Academy for Multi-Media,08X424,"$3,579,153","$3,579,153",$0,100.00%,"$338,081","$1,042,214","$4,959,448","$4,959,448",$0,"$7,737,485",64.10%,"$2,778,037"
320800011432,Bronx Bridges High School,08X432,"$4,070,277","$4,070,277",$0,100.00%,"$338,081","$1,049,550","$5,457,908","$5,457,908",$0,"$7,059,030",77.32%,"$1,601,122"
320800010448,Soundview Academy for Culture and Scholarship,08X448,"$4,057,470","$4,057,470",$0,100.00%,"$338,081","$1,244,074","$5,639,625","$5,639,625",$0,"$7,254,985",77.73%,"$1,615,359"
320800011452,Gotham Collaborative High School,08X452,"$3,100,164","$3,100,164",$0,100.00%,"$338,081","$781,691","$4,219,936","$4,219,936",$0,"$7,999,387",52.75%,"$3,779,451"
320800010467,Mott Hall Community School,08X467,"$3,192,880","$3,192,880",$0,100.00%,"$338,081","$953,066","$4,484,027","$4,484,027",$0,"$6,233,471",71.93%,"$1,749,444"
320800011530,Longwood Preparatory Academy,08X530,"$4,154,015","$4,154,015",$0,100.00%,"$338,081","$1,028,820","$5,520,916","$5,520,916",$0,"$9,087,124",60.76%,"$3,566,208"
320800011537,Bronx Arena High School,08X537,"$1,525,674","$1,525,674",$0,100.00%,"$338,081","$517,340","$2,381,095","$2,381,095",$0,"$3,301,044",72.13%,"$919,949"
320800011558,Westchester Square Academy,08X558,"$4,095,474","$4,095,474",$0,100.00%,"$338,081","$1,156,158","$5,589,713","$5,589,713",$0,"$7,177,120",77.88%,"$1,587,406"
320800011561,Bronx Compass High School,08X561,"$4,240,536","$4,240,536",$0,100.00%,"$338,081","$1,244,352","$5,822,969","$5,822,969",$0,"$7,891,169",73.79%,"$2,068,200"
320800010562,Blueprint Middle School,08X562,"$5,646,709","$5,646,709",$0,100.00%,"$338,081","$1,626,279","$7,611,069","$7,611,069",$0,"$10,694,503",71.17%,"$3,083,433"
320800010583,P.S. 583,08X583,"$3,225,528","$3,225,528",$0,100.00%,"$338,081","$971,468","$4,535,077","$4,535,077",$0,"$7,490,964",60.54%,"$2,955,886"
320900010004,P.S./M.S. 004 Crotona Park West,09X004,"$2,675,170","$2,675,170",$0,100.00%,"$338,081","$677,723","$3,690,974","$3,690,974",$0,"$8,437,114",43.75%,"$4,746,140"
320900010011,P.S. 011 Highbridge,09X011,"$3,509,025","$3,509,025",$0,100.00%,"$338,081","$1,021,001","$4,868,107","$4,868,107",$0,"$10,602,613",45.91%,"$5,734,506"
320900010022,J.H.S. 022 Jordan L. Mott,09X022,"$3,519,914","$3,519,914",$0,100.00%,"$338,081","$1,014,275","$4,872,270","$4,872,270",$0,"$7,801,151",62.46%,"$2,928,881"
320900010028,P.S. 028 Mount Hope,09X028,"$5,136,567","$5,136,567",$0,100.00%,"$338,081","$1,301,935","$6,776,583","$6,776,583",$0,"$15,126,283",44.80%,"$8,349,700"
320900010035,P.S. 035 Franz Siegel,09X035,"$4,038,744","$4,038,744",$0,100.00%,"$338,081","$1,222,223","$5,599,048","$5,599,048",$0,"$10,214,204",54.82%,"$4,615,156"
320900010042,P.S. 042 Claremont,09X042,"$2,994,659","$2,994,659",$0,100.00%,"$338,081","$901,451","$4,234,191","$4,234,191",$0,"$8,973,771",47.18%,"$4,739,580"
320900010053,P.S. 053 Basheer Quisim,09X053,"$5,301,059","$5,301,059",$0,100.00%,"$338,081","$1,494,580","$7,133,720","$7,133,720",$0,"$14,709,269",48.50%,"$7,575,549"
320900010055,P.S. 055 Benjamin Franklin,09X055,"$3,479,802","$3,479,802",$0,100.00%,"$338,081","$967,492","$4,785,376","$4,785,376",$0,"$10,876,712",44.00%,"$6,091,336"
320900010058,P.S. 058,09X058,"$2,623,645","$2,623,645",$0,100.00%,"$338,081","$826,739","$3,788,465","$3,788,465",$0,"$8,089,333",46.83%,"$4,300,868"
320900010063,P.S. 063 Author's Academy,09X063,"$3,321,215","$3,321,215",$0,100.00%,"$338,081","$979,767","$4,639,063","$4,639,063",$0,"$9,115,421",50.89%,"$4,476,358"
320900010070,P.S. 070 Max Schoenfeld,09X070,"$6,943,968","$6,943,968",$0,100.00%,"$338,081","$2,008,950","$9,290,999","$9,290,999",$0,"$18,253,935",50.90%,"$8,962,936"
320900010073,P.S. 073 Bronx,09X073,"$2,380,327","$2,380,327",$0,100.00%,"$338,081","$623,849","$3,342,257","$3,342,257",$0,"$9,636,789",34.68%,"$6,294,531"
320900010088,P.S. X088 - S. Silverstein Little Sparrow School,09X088,"$769,225","$769,225",$0,100.00%,"$338,081","$221,973","$1,329,279","$1,329,279",$0,"$2,963,333",44.86%,"$1,634,054"
320900010109,P.S. 109 Sedgwick,09X109,"$3,466,097","$3,466,097",$0,100.00%,"$338,081","$1,086,626","$4,890,804","$4,890,804",$0,"$10,196,570",47.97%,"$5,305,766"
320900010110,P.S. 110 Theodore Schoenfeld,09X110,"$2,974,642","$2,974,642",$0,100.00%,"$338,081","$739,037","$4,051,760","$4,051,760",$0,"$7,587,902",53.40%,"$3,536,142"
320900010114,P.S. X114 - Luis Llorens Torres Schools,09X114,"$4,756,116","$4,756,116",$0,100.00%,"$338,081","$1,432,730","$6,526,928","$6,526,928",$0,"$12,770,990",51.11%,"$6,244,062"
320900010117,I.S. 117 Joseph H. Wade,09X117,"$4,105,701","$4,105,701",$0,100.00%,"$338,081","$1,150,167","$5,593,949","$5,593,949",$0,"$9,292,618",60.20%,"$3,698,670"
320900010126,P.S. 126 Dr Marjorie H Dunbar,09X126,"$4,206,510","$4,206,510",$0,100.00%,"$338,081","$1,091,832","$5,636,423","$5,636,423",$0,"$10,425,887",54.06%,"$4,789,464"
320900010128,Mott Hall III,09X128,"$3,293,722","$3,293,722",$0,100.00%,"$338,081","$898,794","$4,530,598","$4,530,598",$0,"$5,920,632",76.52%,"$1,390,035"
320900010132,P.S. 132 Garret A. Morgan,09X132,"$2,758,040","$2,758,040",$0,100.00%,"$338,081","$860,817","$3,956,937","$3,956,937",$0,"$9,153,122",43.23%,"$5,196,185"
320900010163,P.S. 163 Arthur A. Schomburg,09X163,"$2,350,281","$2,350,281",$0,100.00%,"$338,081","$775,211","$3,463,573","$3,463,573",$0,"$7,132,133",48.56%,"$3,668,560"
320900010170,P.S. 170,09X170,"$1,153,446","$1,153,446",$0,100.00%,"$338,081","$415,680","$1,907,207","$1,907,207",$0,"$4,212,935",45.27%,"$2,305,728"
320900010199,P.S. 199X - The Shakespeare School,09X199,"$4,298,086","$4,298,086",$0,100.00%,"$338,081","$1,293,654","$5,929,821","$5,929,821",$0,"$11,166,099",53.11%,"$5,236,278"
320900010204,P.S. 204 Morris Heights,09X204,"$4,494,886","$4,494,886",$0,100.00%,"$338,081","$1,343,793","$6,176,760","$6,176,760",$0,"$11,100,205",55.65%,"$4,923,445"
320900010215,KAPPA,09X215,"$2,883,190","$2,883,190",$0,100.00%,"$338,081","$904,211","$4,125,482","$4,125,482",$0,"$6,126,959",67.33%,"$2,001,477"
320900010218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,09X218,"$7,607,110","$7,607,110",$0,100.00%,"$338,081","$2,131,049","$10,076,239","$10,076,239",$0,"$15,346,622",65.66%,"$5,270,382"
320900010219,I.S. 219 New Venture School,09X219,"$3,103,982","$3,103,982",$0,100.00%,"$338,081","$927,179","$4,369,243","$4,369,243",$0,"$7,907,040",55.26%,"$3,537,797"
