Part E - Locally Implemented Funding Formula,,,,,,,,,,,,,,
Are schools allocated a sizeable portion of their funding via a locally implemented formula?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BEDS Code,School Name,Local School Code,Weighted Register Allocation,Weighted Register Allocation If Local Formula Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total Funding (See Part C),Local Formula as % of Total Funding,Other Funding
310200010006,P.S. 006 Lillie D. Blake,02M006,"$3,629,293","$3,629,293",$0,100.00%,"$338,081","$1,152,876","$5,120,250","$5,120,250",$0,"$8,810,648",58.11%,"$3,690,398"
310200010011,P.S. 011 William T. Harris,02M011,"$4,430,754","$4,430,754",$0,100.00%,"$338,081","$1,292,092","$6,060,927","$6,060,927",$0,"$10,642,764",56.95%,"$4,581,837"
310200010033,P.S. 033 Chelsea Prep,02M033,"$3,558,746","$3,558,746",$0,100.00%,"$338,081","$1,078,124","$4,974,951","$4,974,951",$0,"$8,801,386",56.52%,"$3,826,435"
310200010040,P.S. 040 Augustus Saint-Gaudens,02M040,"$4,135,604","$4,135,604",$0,100.00%,"$338,081","$1,158,544","$5,632,229","$5,632,229",$0,"$8,627,548",65.28%,"$2,995,320"
310200010041,P.S. 041 Greenwich Village,02M041,"$2,861,029","$2,861,029",$0,100.00%,"$338,081","$801,486","$4,000,596","$4,000,596",$0,"$8,835,239",45.28%,"$4,834,643"
310200010042,P.S. 042 Benjamin Altman,02M042,"$4,125,582","$4,125,582",$0,100.00%,"$338,081","$1,155,737","$5,619,400","$5,619,400",$0,"$13,021,337",43.16%,"$7,401,936"
310200010047,47 The American Sign Language and English Secondary School,02M047,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
310200010051,P.S. 051 Elias Howe,02M051,"$3,093,230","$3,093,230",$0,100.00%,"$338,081","$928,645","$4,359,955","$4,359,955",$0,"$8,613,243",50.62%,"$4,253,288"
310200010059,P.S. 059 Beekman Hill International,02M059,"$4,097,829","$4,097,829",$0,100.00%,"$338,081","$1,193,805","$5,629,715","$5,629,715",$0,"$8,617,114",65.33%,"$2,987,399"
310200010077,P.S. 77 Lower Lab School,02M077,"$2,225,354","$2,225,354",$0,100.00%,"$338,081","$623,409","$3,186,844","$3,186,844",$0,"$4,422,554",72.06%,"$1,235,710"
310200010089,P.S. 89,02M089,"$2,377,538","$2,377,538",$0,100.00%,"$338,081","$772,247","$3,487,866","$3,487,866",$0,"$7,300,726",47.77%,"$3,812,860"
310200010104,J.H.S. 104 Simon Baruch,02M104,"$6,665,425","$6,665,425",$0,100.00%,"$338,081","$1,867,247","$8,870,752","$8,870,752",$0,"$12,065,279",73.52%,"$3,194,527"
310200010111,P.S. 111 Adolph S. Ochs,02M111,"$2,622,526","$2,622,526",$0,100.00%,"$338,081","$824,606","$3,785,213","$3,785,213",$0,"$7,949,609",47.62%,"$4,164,395"
310200010114,East Side Middle School,02M114,"$3,889,362","$3,889,362",$0,100.00%,"$338,081","$1,163,608","$5,391,050","$5,391,050",$0,"$6,846,468",78.74%,"$1,455,418"
310200010116,P.S. 116 Mary Lindley Murray,02M116,"$2,448,457","$2,448,457",$0,100.00%,"$338,081","$779,305","$3,565,843","$3,565,843",$0,"$7,439,953",47.93%,"$3,874,110"
310200010124,P.S. 124 Yung Wing,02M124,"$4,149,436","$4,149,436",$0,100.00%,"$338,081","$1,285,335","$5,772,851","$5,772,851",$0,"$9,673,520",59.68%,"$3,900,668"
