School Name,Number Tested,Mean Scale Score
BROOKLYN PROSPECT CHARTER SCHOOL,4342,400.58620689655174
BROOKLYN PROSPECT CHARTER SCHOOL DOWNTOWN,1754,568.6428571428571
BROOKLYN SCHOLARS CHARTER SCHOOL,5372,390.5833333333333
BROOKLYN SCHOOL OF INQUIRY,22486,469.26423690205013
BROOKLYN SCIENCE AND ENGINEERING ACADEMY,17815,477.0865800865801
BROOKLYN STUDIO SECONDARY SCHOOL,21297,419.1757425742574
BROOKLYN URBAN GARDEN CHARTER SCHOOL,2368,410.9047619047619
BROWNSVILLE ASCEND CHARTER SCHOOL,6882,414.3333333333333
BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,7969,396.12
BROWNSVILLE COLLEGIATE CHARTER SCHOOL,3446,385.9
BUSHWICK ASCEND CHARTER SCHOOL,4954,432.05882352941177
CANARSIE ASCEND CHARTER SCHOOL,2240,506.35714285714283
CAPITAL PREPARATORY (CP) HARLEM CHARTER SCHOOL,1110,508.90909090909093
CASTLE BRIDGE SCHOOL,477,519.3617021276596
CATHERINE & COUNT BASIE MIDDLE SCHOOL 72,50857,398.264367816092
CENTRAL BROOKLYN ASCEND CHARTER SCHOOL,990,538.8888888888889
CENTRAL PARK EAST I,1730,386.26356589147287
CENTRAL PARK EAST II,9660,444.584487534626
CENTRAL QUEENS ACADEMY CHARTER SCHOOL,4438,424.58620689655174
CHALLENGE PREPARATORY CHARTER SCHOOL,4418,429.0882352941176
CHANNEL VIEW SCHOOL FOR RESEARCH,21442,406.29640718562877
CHILDREN'S AID COLLEGE PREP CHARTER SCHOOL,2128,477.65
CHRISTOPHER AVENUE COMMUNITY SCHOOL,6167,406.67727272727274
CITY COLLEGE ACADEMY OF THE ARTS,20983,419.73809523809524
CITY KNOLL MIDDLE SCHOOL,10423,451.03891050583655
COLLABORATIVE ARTS MIDDLE SCHOOL,35609,405.36901408450706
COLLEGE POINT COLLABORATIVE,8841,538.98
COLLEGIATE ACADEMY FOR MATH AND PERSONAL AWARENESS,448,524.4444444444445
COLUMBIA SECONDARY SCHOOL,16109,440.9183673469388
COMMUNITY ACTION SCHOOL - MS 258,14240,403.2913907284768
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,19955,399.7774390243902
COMMUNITY MATH & SCIENCE PREP,17968,384.92424242424244
COMMUNITY PARTNERSHIP CHARTER SCHOOL,3638,384.81632653061223
COMMUNITY ROOTS CHARTER SCHOOL,3720,400.04347826086956
COMMUNITY VOICES MIDDLE SCHOOL,33577,402.1815642458101
COMPASS CHARTER SCHOOL,490,522.3333333333334
COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,28328,426.97855227882036
CONCOURSE VILLAGE ELEMENTARY SCHOOL,6997,485.50697674418603
CONEY ISLAND PREPARATORY PUBLIC CHARTER SCHOOL,5454,414.325
CONSELYEA PREPARATORY SCHOOL,34571,401.4
CORNERSTONE ACADEMY FOR SOCIAL ACTION,13943,406.40199335548175
CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOO,18931,406.0866873065016
CORONA ARTS & SCIENCES ACADEMY,42279,443.13148788927333
CRESTON ACADEMY,43402,416.7795275590551
CYNTHIA JENKINS SCHOOL,19727,400.39354838709676
DAVID N. DINKINS SCHOOL,22083,419.1014851485148
DEMOCRACY PREP CHARTER SCHOOL,4236,398.7857142857143
DEMOCRACY PREP ENDURANCE CHARTER SCHOOL,3628,404.4
DEMOCRACY PREP HARLEM CHARTER SCHOOL,5021,421.5151515151515
DOCK STREET SCHOOL FOR STEAM STUDIES,10006,424.53937007874015
DOS PUENTES ELEMENTARY SCHOOL,7081,523.561403508772
DR. JACQUELINE PEEK-DAVIS SCHOOL,4953,411.4307692307692
DR. RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER S,4156,359.0
DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,7180,380.17898832684824
DREAM CHARTER SCHOOL,3614,406.4418604651163
E.S.M.T- I.S. 190,21049,403.0730994152047
EAGLE ACADEMY FOR YOUNG MEN,10447,388.45853658536583
EAGLE ACADEMY FOR YOUNG MEN II,12021,399.85026737967917
EAGLE ACADEMY FOR YOUNG MEN III,16080,387.93392070484583
EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,7510,406.78125
EARTH SCHOOL,2831,394.6101694915254
EAST BRONX ACADEMY FOR THE FUTURE,19286,401.6798780487805
EAST ELMHURST COMMUNITY SCHOOL,8459,528.7613636363636
EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL,2516,453.3703703703704
EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II,1056,492.07142857142856
EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,22760,404.5694050991501
EAST NEW YORK FAMILY ACADEMY,18580,417.81325301204816
EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,22424,399.19714285714286
EAST SIDE COMMUNITY SCHOOL,20398,424.40302267002517
"EAST SIDE ELEMENTARY SCHOOL, PS 267",9526,487.71232876712327
EAST SIDE MIDDLE SCHOOL,36280,448.8638888888889
EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,19671,426.0609756097561
EBBETS FIELD MIDDLE SCHOOL,16176,401.4356725146199
EDMUND W. GORDON BROOKLYN LABORATORY CHARTER SCHOO,102,604.0
"ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOG",12278,396.4508474576271
ELIJAH STROUD MIDDLE SCHOOL,15658,394.4031746031746
ELLA BAKER SCHOOL,5790,414.35603715170276
ELM TREE ELEMENTARY SCHOOL,9629,528.7712418300654
"EMBER CHARTER SCHOOL FOR MINDFUL EDUCATION, INNOVA",2214,432.11538461538464
EMBLAZE ACADEMY CHARTER SCHOOL,180,599.0
EMOLIOR ACADEMY,25255,402.8133971291866
ESPERANZA PREPARATORY ACADEMY,15744,383.4952978056426
EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,24117,389.34556574923545
EXCELLENCE BOYS CHARTER SCHOOL,5266,402.30232558139534
EXCELLENCE GIRLS CHARTER SCHOOL,4696,423.8888888888889
EXPLORE CHARTER SCHOOL,4738,390.14285714285717
EXPLORE EMPOWER CHARTER SCHOOL,3998,394.5813953488372
EXPLORE EXCEED CHARTER SCHOOL,3020,422.7647058823529
EXPLORE EXCEL CHARTER SCHOOL,3782,407.2307692307692
FAIRMONT NEIGHBORHOOD SCHOOL,7159,436.0628272251309
FAMILY LIFE ACADEMY CHARTER SCHOOL,3572,357.95348837209303
FAMILY LIFE ACADEMY CHARTER SCHOOL II,2020,502.95652173913044
FAMILY LIFE ACADEMY CHARTER SCHOOL III,468,540.125
FANNIE LOU HAMER MIDDLE SCHOOL,24793,399.9053708439898
FORT GREENE PREPARATORY ACADEMY,19371,395.49591280653954
FORT HILL COLLABORATIVE ELEMENTARY SCHOOL,2606,547.8508771929825
FORTE PREPARATORY ACADEMY CHARTER SCHOOL,516,609.2
FREDERICK DOUGLASS ACADEMY,24506,390.3815028901734
